clip_id,track_id,path,label,split,start_sec,duration_sec
classical__classical.00081__seg02,classical/classical.00081,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/classical/classical__classical.00081__seg02.wav,classical,train,10.00,5.00
classical__classical.00081__seg03,classical/classical.00081,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/classical/classical__classical.00081__seg03.wav,classical,train,15.00,5.00
classical__classical.00081__seg04,classical/classical.00081,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/classical/classical__classical.00081__seg04.wav,classical,train,20.00,5.00
classical__classical.00081__seg05,classical/classical.00081,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/classical/classical__classical.00081__seg05.wav,classical,train,25.00,5.00
classical__classical.00081__seg06,classical/classical.00081,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/classical/classical__classical.00081__seg06.wav,classical,train,30.00,5.00
country__country.00074__seg00,country/country.00074,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/country/country__country.00074__seg00.wav,country,train,0.00,5.00
country__country.00074__seg01,country/country.00074,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/country/country__country.00074__seg01.wav,country,train,5.00,5.00
country__country.00074__seg02,country/country.00074,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/country/country__country.00074__seg02.wav,country,train,10.00,5.00
country__country.00074__seg03,country/country.00074,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/country/country__country.00074__seg03.wav,country,train,15.00,5.00
country__country.00074__seg04,country/country.00074,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/country/country__country.00074__seg04.wav,country,train,20.00,5.00
country__country.00074__seg05,country/country.00074,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/country/country__country.00074__seg05.wav,country,train,25.00,5.00
country__country.00074__seg06,country/country.00074,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/country/country__country.00074__seg06.wav,country,train,30.00,5.00
rock__rock.00051__seg00,rock/rock.00051,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/rock/rock__rock.00051__seg00.wav,rock,train,0.00,5.00
rock__rock.00051__seg01,rock/rock.00051,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/rock/rock__rock.00051__seg01.wav,rock,train,5.00,5.00
rock__rock.00051__seg02,rock/rock.00051,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/rock/rock__rock.00051__seg02.wav,rock,train,10.00,5.00
rock__rock.00051__seg03,rock/rock.00051,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/rock/rock__rock.00051__seg03.wav,rock,train,15.00,5.00
rock__rock.00051__seg04,rock/rock.00051,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/rock/rock__rock.00051__seg04.wav,rock,train,20.00,5.00
rock__rock.00051__seg05,rock/rock.00051,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/rock/rock__rock.00051__seg05.wav,rock,train,25.00,5.00
rock__rock.00051__seg06,rock/rock.00051,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/rock/rock__rock.00051__seg06.wav,rock,train,30.00,5.00
pop__pop.00047__seg00,pop/pop.00047,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/pop/pop__pop.00047__seg00.wav,pop,train,0.00,5.00
pop__pop.00047__seg01,pop/pop.00047,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/pop/pop__pop.00047__seg01.wav,pop,train,5.00,5.00
pop__pop.00047__seg02,pop/pop.00047,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/pop/pop__pop.00047__seg02.wav,pop,train,10.00,5.00
pop__pop.00047__seg03,pop/pop.00047,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/pop/pop__pop.00047__seg03.wav,pop,train,15.00,5.00
pop__pop.00047__seg04,pop/pop.00047,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/pop/pop__pop.00047__seg04.wav,pop,train,20.00,5.00
pop__pop.00047__seg05,pop/pop.00047,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/pop/pop__pop.00047__seg05.wav,pop,train,25.00,5.00
pop__pop.00047__seg06,pop/pop.00047,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/pop/pop__pop.00047__seg06.wav,pop,train,30.00,5.00
reggae__reggae.00080__seg00,reggae/reggae.00080,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/reggae/reggae__reggae.00080__seg00.wav,reggae,train,0.00,5.00
reggae__reggae.00080__seg01,reggae/reggae.00080,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/reggae/reggae__reggae.00080__seg01.wav,reggae,train,5.00,5.00
reggae__reggae.00080__seg02,reggae/reggae.00080,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/reggae/reggae__reggae.00080__seg02.wav,reggae,train,10.00,5.00
reggae__reggae.00080__seg03,reggae/reggae.00080,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/reggae/reggae__reggae.00080__seg03.wav,reggae,train,15.00,5.00
reggae__reggae.00080__seg04,reggae/reggae.00080,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/reggae/reggae__reggae.00080__seg04.wav,reggae,train,20.00,5.00
reggae__reggae.00080__seg05,reggae/reggae.00080,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/reggae/reggae__reggae.00080__seg05.wav,reggae,train,25.00,5.00
reggae__reggae.00080__seg06,reggae/reggae.00080,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/reggae/reggae__reggae.00080__seg06.wav,reggae,train,30.00,5.00
hiphop__hiphop.00047__seg00,hiphop/hiphop.00047,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/hiphop/hiphop__hiphop.00047__seg00.wav,hiphop,train,0.00,5.00
hiphop__hiphop.00047__seg01,hiphop/hiphop.00047,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/hiphop/hiphop__hiphop.00047__seg01.wav,hiphop,train,5.00,5.00
hiphop__hiphop.00047__seg02,hiphop/hiphop.00047,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/hiphop/hiphop__hiphop.00047__seg02.wav,hiphop,train,10.00,5.00
hiphop__hiphop.00047__seg03,hiphop/hiphop.00047,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/hiphop/hiphop__hiphop.00047__seg03.wav,hiphop,train,15.00,5.00
hiphop__hiphop.00047__seg04,hiphop/hiphop.00047,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/hiphop/hiphop__hiphop.00047__seg04.wav,hiphop,train,20.00,5.00
hiphop__hiphop.00047__seg05,hiphop/hiphop.00047,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/hiphop/hiphop__hiphop.00047__seg05.wav,hiphop,train,25.00,5.00
hiphop__hiphop.00047__seg06,hiphop/hiphop.00047,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/hiphop/hiphop__hiphop.00047__seg06.wav,hiphop,train,30.00,5.00
jazz__jazz.00061__seg00,jazz/jazz.00061,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/jazz/jazz__jazz.00061__seg00.wav,jazz,train,0.00,5.00
jazz__jazz.00061__seg01,jazz/jazz.00061,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/jazz/jazz__jazz.00061__seg01.wav,jazz,train,5.00,5.00
jazz__jazz.00061__seg02,jazz/jazz.00061,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/jazz/jazz__jazz.00061__seg02.wav,jazz,train,10.00,5.00
jazz__jazz.00061__seg03,jazz/jazz.00061,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/jazz/jazz__jazz.00061__seg03.wav,jazz,train,15.00,5.00
jazz__jazz.00061__seg04,jazz/jazz.00061,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/jazz/jazz__jazz.00061__seg04.wav,jazz,train,20.00,5.00
jazz__jazz.00061__seg05,jazz/jazz.00061,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/jazz/jazz__jazz.00061__seg05.wav,jazz,train,25.00,5.00
jazz__jazz.00061__seg06,jazz/jazz.00061,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/jazz/jazz__jazz.00061__seg06.wav,jazz,train,30.00,5.00
country__country.00072__seg00,country/country.00072,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/country/country__country.00072__seg00.wav,country,train,0.00,5.00
country__country.00072__seg01,country/country.00072,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/country/country__country.00072__seg01.wav,country,train,5.00,5.00
country__country.00072__seg02,country/country.00072,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/country/country__country.00072__seg02.wav,country,train,10.00,5.00
country__country.00072__seg03,country/country.00072,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/country/country__country.00072__seg03.wav,country,train,15.00,5.00
country__country.00072__seg04,country/country.00072,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/country/country__country.00072__seg04.wav,country,train,20.00,5.00
country__country.00072__seg05,country/country.00072,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/country/country__country.00072__seg05.wav,country,train,25.00,5.00
country__country.00072__seg06,country/country.00072,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/country/country__country.00072__seg06.wav,country,train,30.00,5.00
reggae__reggae.00003__seg00,reggae/reggae.00003,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/reggae/reggae__reggae.00003__seg00.wav,reggae,train,0.00,5.00
reggae__reggae.00003__seg01,reggae/reggae.00003,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/reggae/reggae__reggae.00003__seg01.wav,reggae,train,5.00,5.00
reggae__reggae.00003__seg02,reggae/reggae.00003,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/reggae/reggae__reggae.00003__seg02.wav,reggae,train,10.00,5.00
reggae__reggae.00003__seg03,reggae/reggae.00003,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/reggae/reggae__reggae.00003__seg03.wav,reggae,train,15.00,5.00
reggae__reggae.00003__seg04,reggae/reggae.00003,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/reggae/reggae__reggae.00003__seg04.wav,reggae,train,20.00,5.00
reggae__reggae.00003__seg05,reggae/reggae.00003,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/reggae/reggae__reggae.00003__seg05.wav,reggae,train,25.00,5.00
reggae__reggae.00003__seg06,reggae/reggae.00003,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/reggae/reggae__reggae.00003__seg06.wav,reggae,train,30.00,5.00
pop__pop.00058__seg00,pop/pop.00058,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/pop/pop__pop.00058__seg00.wav,pop,train,0.00,5.00
pop__pop.00058__seg01,pop/pop.00058,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/pop/pop__pop.00058__seg01.wav,pop,train,5.00,5.00
pop__pop.00058__seg02,pop/pop.00058,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/pop/pop__pop.00058__seg02.wav,pop,train,10.00,5.00
pop__pop.00058__seg03,pop/pop.00058,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/pop/pop__pop.00058__seg03.wav,pop,train,15.00,5.00
pop__pop.00058__seg04,pop/pop.00058,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/pop/pop__pop.00058__seg04.wav,pop,train,20.00,5.00
pop__pop.00058__seg05,pop/pop.00058,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/pop/pop__pop.00058__seg05.wav,pop,train,25.00,5.00
pop__pop.00058__seg06,pop/pop.00058,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/pop/pop__pop.00058__seg06.wav,pop,train,30.00,5.00
country__country.00036__seg00,country/country.00036,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/country/country__country.00036__seg00.wav,country,train,0.00,5.00
country__country.00036__seg01,country/country.00036,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/country/country__country.00036__seg01.wav,country,train,5.00,5.00
country__country.00036__seg02,country/country.00036,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/country/country__country.00036__seg02.wav,country,train,10.00,5.00
country__country.00036__seg03,country/country.00036,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/country/country__country.00036__seg03.wav,country,train,15.00,5.00
country__country.00036__seg04,country/country.00036,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/country/country__country.00036__seg04.wav,country,train,20.00,5.00
country__country.00036__seg05,country/country.00036,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/country/country__country.00036__seg05.wav,country,train,25.00,5.00
country__country.00036__seg06,country/country.00036,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/country/country__country.00036__seg06.wav,country,train,30.00,5.00
metal__metal.00077__seg00,metal/metal.00077,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/metal/metal__metal.00077__seg00.wav,metal,train,0.00,5.00
metal__metal.00077__seg01,metal/metal.00077,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/metal/metal__metal.00077__seg01.wav,metal,train,5.00,5.00
metal__metal.00077__seg02,metal/metal.00077,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/metal/metal__metal.00077__seg02.wav,metal,train,10.00,5.00
metal__metal.00077__seg03,metal/metal.00077,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/metal/metal__metal.00077__seg03.wav,metal,train,15.00,5.00
metal__metal.00077__seg04,metal/metal.00077,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/metal/metal__metal.00077__seg04.wav,metal,train,20.00,5.00
metal__metal.00077__seg05,metal/metal.00077,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/metal/metal__metal.00077__seg05.wav,metal,train,25.00,5.00
metal__metal.00077__seg06,metal/metal.00077,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/metal/metal__metal.00077__seg06.wav,metal,train,30.00,5.00
classical__classical.00012__seg00,classical/classical.00012,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/classical/classical__classical.00012__seg00.wav,classical,train,0.00,5.00
classical__classical.00012__seg01,classical/classical.00012,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/classical/classical__classical.00012__seg01.wav,classical,train,5.00,5.00
classical__classical.00012__seg02,classical/classical.00012,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/classical/classical__classical.00012__seg02.wav,classical,train,10.00,5.00
classical__classical.00012__seg03,classical/classical.00012,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/classical/classical__classical.00012__seg03.wav,classical,train,15.00,5.00
classical__classical.00012__seg04,classical/classical.00012,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/classical/classical__classical.00012__seg04.wav,classical,train,20.00,5.00
classical__classical.00012__seg05,classical/classical.00012,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/classical/classical__classical.00012__seg05.wav,classical,train,25.00,5.00
classical__classical.00012__seg06,classical/classical.00012,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/classical/classical__classical.00012__seg06.wav,classical,train,30.00,5.00
hiphop__hiphop.00088__seg00,hiphop/hiphop.00088,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/hiphop/hiphop__hiphop.00088__seg00.wav,hiphop,train,0.00,5.00
hiphop__hiphop.00088__seg01,hiphop/hiphop.00088,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/hiphop/hiphop__hiphop.00088__seg01.wav,hiphop,train,5.00,5.00
hiphop__hiphop.00088__seg02,hiphop/hiphop.00088,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/hiphop/hiphop__hiphop.00088__seg02.wav,hiphop,train,10.00,5.00
hiphop__hiphop.00088__seg03,hiphop/hiphop.00088,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/hiphop/hiphop__hiphop.00088__seg03.wav,hiphop,train,15.00,5.00
hiphop__hiphop.00088__seg04,hiphop/hiphop.00088,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/hiphop/hiphop__hiphop.00088__seg04.wav,hiphop,train,20.00,5.00
hiphop__hiphop.00088__seg05,hiphop/hiphop.00088,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/hiphop/hiphop__hiphop.00088__seg05.wav,hiphop,train,25.00,5.00
hiphop__hiphop.00088__seg06,hiphop/hiphop.00088,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/hiphop/hiphop__hiphop.00088__seg06.wav,hiphop,train,30.00,5.00
pop__pop.00078__seg00,pop/pop.00078,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/pop/pop__pop.00078__seg00.wav,pop,train,0.00,5.00
pop__pop.00078__seg01,pop/pop.00078,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/pop/pop__pop.00078__seg01.wav,pop,train,5.00,5.00
pop__pop.00078__seg02,pop/pop.00078,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/pop/pop__pop.00078__seg02.wav,pop,train,10.00,5.00
pop__pop.00078__seg03,pop/pop.00078,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/pop/pop__pop.00078__seg03.wav,pop,train,15.00,5.00
pop__pop.00078__seg04,pop/pop.00078,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/pop/pop__pop.00078__seg04.wav,pop,train,20.00,5.00
pop__pop.00078__seg05,pop/pop.00078,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/pop/pop__pop.00078__seg05.wav,pop,train,25.00,5.00
pop__pop.00078__seg06,pop/pop.00078,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/pop/pop__pop.00078__seg06.wav,pop,train,30.00,5.00
rock__rock.00099__seg00,rock/rock.00099,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/rock/rock__rock.00099__seg00.wav,rock,train,0.00,5.00
rock__rock.00099__seg01,rock/rock.00099,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/rock/rock__rock.00099__seg01.wav,rock,train,5.00,5.00
rock__rock.00099__seg02,rock/rock.00099,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/rock/rock__rock.00099__seg02.wav,rock,train,10.00,5.00
rock__rock.00099__seg03,rock/rock.00099,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/rock/rock__rock.00099__seg03.wav,rock,train,15.00,5.00
rock__rock.00099__seg04,rock/rock.00099,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/rock/rock__rock.00099__seg04.wav,rock,train,20.00,5.00
rock__rock.00099__seg05,rock/rock.00099,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/rock/rock__rock.00099__seg05.wav,rock,train,25.00,5.00
rock__rock.00099__seg06,rock/rock.00099,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/rock/rock__rock.00099__seg06.wav,rock,train,30.00,5.00
rock__rock.00094__seg00,rock/rock.00094,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/rock/rock__rock.00094__seg00.wav,rock,train,0.00,5.00
rock__rock.00094__seg01,rock/rock.00094,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/rock/rock__rock.00094__seg01.wav,rock,train,5.00,5.00
rock__rock.00094__seg02,rock/rock.00094,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/rock/rock__rock.00094__seg02.wav,rock,train,10.00,5.00
rock__rock.00094__seg03,rock/rock.00094,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/rock/rock__rock.00094__seg03.wav,rock,train,15.00,5.00
rock__rock.00094__seg04,rock/rock.00094,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/rock/rock__rock.00094__seg04.wav,rock,train,20.00,5.00
rock__rock.00094__seg05,rock/rock.00094,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/rock/rock__rock.00094__seg05.wav,rock,train,25.00,5.00
rock__rock.00094__seg06,rock/rock.00094,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/rock/rock__rock.00094__seg06.wav,rock,train,30.00,5.00
reggae__reggae.00030__seg00,reggae/reggae.00030,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/reggae/reggae__reggae.00030__seg00.wav,reggae,train,0.00,5.00
reggae__reggae.00030__seg01,reggae/reggae.00030,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/reggae/reggae__reggae.00030__seg01.wav,reggae,train,5.00,5.00
reggae__reggae.00030__seg02,reggae/reggae.00030,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/reggae/reggae__reggae.00030__seg02.wav,reggae,train,10.00,5.00
reggae__reggae.00030__seg03,reggae/reggae.00030,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/reggae/reggae__reggae.00030__seg03.wav,reggae,train,15.00,5.00
reggae__reggae.00030__seg04,reggae/reggae.00030,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/reggae/reggae__reggae.00030__seg04.wav,reggae,train,20.00,5.00
reggae__reggae.00030__seg05,reggae/reggae.00030,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/reggae/reggae__reggae.00030__seg05.wav,reggae,train,25.00,5.00
reggae__reggae.00030__seg06,reggae/reggae.00030,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/reggae/reggae__reggae.00030__seg06.wav,reggae,train,30.00,5.00
rock__rock.00077__seg00,rock/rock.00077,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/rock/rock__rock.00077__seg00.wav,rock,train,0.00,5.00
rock__rock.00077__seg01,rock/rock.00077,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/rock/rock__rock.00077__seg01.wav,rock,train,5.00,5.00
rock__rock.00077__seg02,rock/rock.00077,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/rock/rock__rock.00077__seg02.wav,rock,train,10.00,5.00
rock__rock.00077__seg03,rock/rock.00077,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/rock/rock__rock.00077__seg03.wav,rock,train,15.00,5.00
rock__rock.00077__seg04,rock/rock.00077,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/rock/rock__rock.00077__seg04.wav,rock,train,20.00,5.00
rock__rock.00077__seg05,rock/rock.00077,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/rock/rock__rock.00077__seg05.wav,rock,train,25.00,5.00
